
0it [00:00, ?it/s]
811576it [00:48, 15665.89it/s]
813351it [00:48, 16231.34it/s]
814992it [00:48, 16195.33it/s]
816963it [00:48, 17095.51it/s]
818695it [00:48, 16722.97it/s]
820385it [00:48, 16557.73it/s]
822054it [00:48, 15881.74it/s]
823883it [00:49, 16534.83it/s]
825554it [00:49, 16573.72it/s]
827797it [00:49, 17981.72it/s]
829639it [00:49, 17234.09it/s]
831400it [00:49, 17065.64it/s]
833189it [00:49, 17293.06it/s]
834938it [00:49, 16636.02it/s]
836621it [00:49, 16580.85it/s]
838605it [00:49, 17435.80it/s]
840370it [00:49, 17170.21it/s]
842103it [00:50, 15068.20it/s]
843945it [00:50, 15937.20it/s]
845593it [00:50, 15989.40it/s]
847431it [00:50, 16630.82it/s]
849213it [00:50, 16951.23it/s]
850933it [00:50, 16706.92it/s]
852622it [00:50, 16679.89it/s]
854311it [00:50, 16742.01it/s]
856199it [00:50, 17316.60it/s]
857942it [00:51, 16951.03it/s]
859647it [00:51, 16908.86it/s]
861345it [00:51, 16012.88it/s]
862961it [00:51, 15649.11it/s]
864538it [00:51, 15625.39it/s]
866241it [00:51, 16021.64it/s]
867983it [00:51, 16407.31it/s]
869632it [00:51, 15452.74it/s]
871211it [00:51, 15551.72it/s]
872847it [00:51, 15781.95it/s]
874797it [00:52, 16736.82it/s]
876641it [00:52, 17204.02it/s]
878381it [00:52, 16488.71it/s]
880050it [00:52, 16111.07it/s]
881763it [00:52, 16392.13it/s]
883577it [00:52, 16877.93it/s]
885615it [00:52, 17791.52it/s]
887416it [00:52, 17484.39it/s]
889289it [00:52, 17840.20it/s]
891087it [00:53, 16952.83it/s]
892837it [00:53, 17112.68it/s]
894562it [00:53, 16267.02it/s]
896613it [00:53, 17341.16it/s]
898389it [00:53, 17453.15it/s]
900229it [00:53, 17713.37it/s]
902018it [00:53, 16605.50it/s]
903839it [00:53, 17056.33it/s]
905677it [00:53, 17430.67it/s]
907463it [00:53, 17551.78it/s]
909231it [00:54, 17171.51it/s]
910959it [00:54, 16623.17it/s]
912705it [00:54, 16856.29it/s]
914527it [00:54, 17237.57it/s]
916279it [00:54, 17321.01it/s]
918017it [00:54, 16503.89it/s]
919875it [00:54, 17073.29it/s]
921596it [00:54, 16857.41it/s]
923292it [00:54, 16187.88it/s]
924985it [00:55, 16402.54it/s]
926635it [00:55, 16358.06it/s]
928483it [00:55, 16937.69it/s]
930187it [00:55, 16442.34it/s]
931945it [00:55, 16767.82it/s]
933789it [00:55, 17235.89it/s]
935663it [00:55, 17646.44it/s]
937437it [00:55, 17050.60it/s]
939153it [00:55, 16870.20it/s]
940848it [00:55, 16598.04it/s]
942557it [00:56, 16739.07it/s]
944236it [00:56, 16679.40it/s]
946079it [00:56, 17167.54it/s]
947825it [00:56, 17231.21it/s]
949553it [00:56, 16923.24it/s]
951415it [00:56, 17393.49it/s]
953161it [00:56, 16442.15it/s]
955041it [00:56, 17082.95it/s]
956767it [00:56, 16486.93it/s]
958433it [00:57, 16043.82it/s]
960101it [00:57, 16209.48it/s]
961913it [00:57, 16736.42it/s]
963709it [00:57, 17080.65it/s]
965427it [00:57, 16343.80it/s]
967075it [00:57, 15972.97it/s]
968835it [00:57, 16425.75it/s]
970615it [00:57, 16805.50it/s]
972306it [00:57, 16553.64it/s]
974025it [00:57, 16735.97it/s]
975717it [00:58, 16789.97it/s]
977401it [00:58, 16713.73it/s]
979373it [00:58, 17506.26it/s]
981136it [00:58, 17214.90it/s]
982867it [00:58, 17018.66it/s]
984619it [00:58, 17162.30it/s]
986431it [00:58, 17419.66it/s]
988178it [00:58, 17185.95it/s]
989901it [00:58, 16339.56it/s]
991727it [00:58, 16851.70it/s]
993425it [00:59, 16836.76it/s]
995118it [00:59, 16394.01it/s]
996766it [00:59, 15819.20it/s]
998503it [00:59, 16243.23it/s]
1000471it [00:59, 17140.29it/s]
1002206it [00:59, 16370.28it/s]
1003913it [00:59, 16570.62it/s]
1005649it [00:59, 16792.54it/s]
1007340it [00:59, 16633.06it/s]
1009073it [01:00, 16825.67it/s]
1010763it [01:00, 16798.43it/s]
1012499it [01:00, 16952.82it/s]
1014397it [01:00, 17513.14it/s]
